Date,Price,Open,High,Low,Change %
"Mar 18, 2019",7.48,7.477,7.486,7.452,-0.29%
"Mar 15, 2019",7.502,7.558,7.561,7.5,-0.68%
"Mar 14, 2019",7.553,7.59,7.59,7.536,0.07%
"Mar 13, 2019",7.548,7.534,7.553,7.523,0.47%
"Mar 12, 2019",7.513,7.527,7.536,7.493,0.01%
"Mar 11, 2019",7.512,7.54,7.542,7.503,-0.27%
"Mar 08, 2019",7.532,7.565,7.571,7.524,-0.63%
"Mar 07, 2019",7.58,7.575,7.58,7.561,0.11%
"Mar 06, 2019",7.572,7.554,7.587,7.548,0.21%
"Mar 05, 2019",7.556,7.55,7.561,7.53,0.00%
"Mar 01, 2019",7.556,7.588,7.589,7.545,-0.46%
"Feb 28, 2019",7.591,7.679,7.679,7.591,-1.06%
"Feb 27, 2019",7.672,7.608,7.699,7.591,1.12%
"Feb 26, 2019",7.587,7.624,7.624,7.578,0.04%
"Feb 25, 2019",7.584,7.591,7.611,7.582,-0.28%
"Feb 22, 2019",7.605,7.544,7.61,7.544,0.81%
"Feb 21, 2019",7.544,7.573,7.573,7.543,-0.01%
"Feb 20, 2019",7.545,7.571,7.572,7.541,-0.46%
"Feb 18, 2019",7.58,7.601,7.601,7.565,0.04%
"Feb 15, 2019",7.577,7.539,7.584,7.534,0.74%
"Feb 14, 2019",7.521,7.485,7.524,7.483,0.74%
"Feb 13, 2019",7.466,7.469,7.479,7.436,-0.90%
"Feb 12, 2019",7.534,7.54,7.54,7.51,0.07%
"Feb 11, 2019",7.529,7.524,7.548,7.509,0.07%
"Feb 08, 2019",7.524,7.488,7.531,7.459,0.31%
"Feb 07, 2019",7.501,7.573,7.588,7.47,-0.85%
"Feb 06, 2019",7.565,7.602,7.602,7.565,-0.66%
"Feb 05, 2019",7.615,7.669,7.672,7.609,-0.74%
"Feb 04, 2019",7.672,7.65,7.674,7.632,0.81%
"Feb 01, 2019",7.61,7.47,7.651,7.425,1.70%
"Jan 31, 2019",7.483,7.532,7.551,7.482,-0.90%
"Jan 30, 2019",7.551,7.541,7.556,7.533,0.35%
"Jan 29, 2019",7.525,7.533,7.551,7.522,-0.21%
"Jan 28, 2019",7.541,7.558,7.562,7.535,-0.07%
"Jan 25, 2019",7.546,7.578,7.578,7.524,-0.15%
"Jan 24, 2019",7.557,7.569,7.604,7.555,-0.26%
"Jan 23, 2019",7.577,7.52,7.585,7.511,0.58%
"Jan 22, 2019",7.533,7.552,7.555,7.516,-0.48%
"Jan 21, 2019",7.569,7.628,7.65,7.545,-0.36%
"Jan 18, 2019",7.596,7.593,7.609,7.567,0.62%
"Jan 17, 2019",7.549,7.573,7.587,7.533,-0.19%
"Jan 16, 2019",7.563,7.479,7.577,7.465,1.20%
"Jan 15, 2019",7.473,7.472,7.49,7.457,0.57%
"Jan 14, 2019",7.431,7.474,7.474,7.423,-0.96%
"Jan 11, 2019",7.503,7.479,7.519,7.449,0.36%
"Jan 10, 2019",7.476,7.488,7.516,7.466,0.08%
"Jan 09, 2019",7.47,7.476,7.482,7.444,0.21%
"Jan 08, 2019",7.454,7.503,7.534,7.439,-0.72%
"Jan 07, 2019",7.508,7.467,7.519,7.439,0.81%
"Jan 04, 2019",7.448,7.407,7.475,7.406,0.28%
"Jan 03, 2019",7.427,7.397,7.433,7.381,0.99%
"Jan 02, 2019",7.354,7.409,7.415,7.35,-0.86%
"Jan 01, 2019",7.418,7.401,7.447,7.385,0.65%
"Dec 31, 2018",7.37,7.368,7.389,7.339,-0.28%
"Dec 28, 2018",7.391,7.274,7.393,7.266,1.57%
"Dec 27, 2018",7.277,7.307,7.307,7.235,0.19%
"Dec 26, 2018",7.263,7.249,7.267,7.228,-0.33%
"Dec 24, 2018",7.287,7.298,7.306,7.278,0.15%
"Dec 21, 2018",7.276,7.269,7.316,7.259,0.06%
"Dec 20, 2018",7.272,7.253,7.275,7.233,0.73%
"Dec 19, 2018",7.219,7.241,7.288,7.218,-1.72%
"Dec 18, 2018",7.345,7.427,7.438,7.345,-1.55%
"Dec 17, 2018",7.461,7.443,7.463,7.423,0.27%
"Dec 14, 2018",7.441,7.429,7.464,7.425,0.45%
"Dec 13, 2018",7.408,7.389,7.437,7.382,-0.04%
"Dec 12, 2018",7.411,7.476,7.479,7.41,-1.55%
"Dec 11, 2018",7.528,7.695,7.703,7.512,-0.78%
"Dec 10, 2018",7.587,7.505,7.598,7.493,1.65%
"Dec 07, 2018",7.464,7.401,7.48,7.389,0.55%
"Dec 06, 2018",7.423,7.412,7.443,7.371,-0.23%
"Dec 05, 2018",7.44,7.562,7.573,7.435,-1.77%
"Dec 04, 2018",7.574,7.618,7.618,7.566,-0.68%
"Dec 03, 2018",7.626,7.646,7.653,7.616,0.25%
"Nov 30, 2018",7.607,7.627,7.63,7.596,-0.01%
"Nov 29, 2018",7.608,7.62,7.62,7.576,-0.47%
"Nov 28, 2018",7.644,7.688,7.698,7.644,-1.16%
"Nov 27, 2018",7.734,7.747,7.75,7.713,0.10%
"Nov 26, 2018",7.726,7.677,7.738,7.677,0.21%
"Nov 22, 2018",7.71,7.754,7.767,7.704,-1.05%
"Nov 20, 2018",7.792,7.767,7.795,7.756,0.01%
"Nov 19, 2018",7.791,7.82,7.836,7.789,-0.31%
"Nov 16, 2018",7.815,7.775,7.816,7.768,0.76%
"Nov 15, 2018",7.756,7.736,7.76,7.734,0.30%
"Nov 14, 2018",7.733,7.724,7.748,7.707,-0.37%
"Nov 13, 2018",7.762,7.777,7.783,7.757,-0.54%
"Nov 12, 2018",7.804,7.789,7.821,7.788,0.50%
"Nov 09, 2018",7.765,7.766,7.781,7.757,-0.40%
"Nov 06, 2018",7.796,7.801,7.811,7.791,-0.15%
"Nov 05, 2018",7.808,7.799,7.812,7.791,0.35%
"Nov 02, 2018",7.781,7.785,7.793,7.752,-0.54%
"Nov 01, 2018",7.823,7.831,7.84,7.82,-0.38%
"Oct 31, 2018",7.853,7.881,7.893,7.846,0.24%
"Oct 30, 2018",7.834,7.825,7.84,7.818,0.31%
"Oct 29, 2018",7.81,7.836,7.836,7.797,-0.85%
"Oct 26, 2018",7.877,7.885,7.891,7.861,0.13%
"Oct 25, 2018",7.867,7.864,7.885,7.845,-0.06%
"Oct 24, 2018",7.872,7.852,7.878,7.83,-0.28%
"Oct 23, 2018",7.894,7.937,7.938,7.88,-0.45%
"Oct 22, 2018",7.93,7.935,7.935,7.892,0.11%
"Oct 19, 2018",7.921,7.891,7.927,7.88,0.15%
"Oct 17, 2018",7.909,7.885,7.926,7.863,0.47%
"Oct 16, 2018",7.872,7.946,7.954,7.87,-0.62%
"Oct 15, 2018",7.921,7.962,7.983,7.921,-0.79%
"Oct 12, 2018",7.984,7.971,8.008,7.963,-0.03%
"Oct 11, 2018",7.986,8.001,8.023,7.978,-0.56%
"Oct 10, 2018",8.031,8.049,8.071,8.027,-0.56%
"Oct 09, 2018",8.076,7.989,8.092,7.989,1.28%
"Oct 08, 2018",7.974,7.989,8.017,7.968,-0.62%
"Oct 05, 2018",8.024,8.158,8.165,8.024,-1.64%
"Oct 04, 2018",8.158,8.193,8.21,8.155,0.57%
"Oct 03, 2018",8.112,8.057,8.115,8.031,1.55%
"Oct 01, 2018",7.988,7.923,7.997,7.923,-0.45%
"Sep 28, 2018",8.024,8.042,8.053,8.015,-0.04%
"Sep 27, 2018",8.027,8.043,8.073,8.024,-0.56%
"Sep 26, 2018",8.072,8.124,8.124,8.063,-0.65%
"Sep 25, 2018",8.125,8.131,8.141,8.113,0.04%
"Sep 24, 2018",8.122,8.094,8.13,8.074,0.57%
"Sep 21, 2018",8.076,8.031,8.135,8.017,0.02%
"Sep 19, 2018",8.074,8.124,8.134,8.067,-0.81%
"Sep 18, 2018",8.14,8.106,8.143,8.043,0.52%
"Sep 17, 2018",8.098,8.164,8.184,8.09,-0.32%
"Sep 16, 2018",8.124,8.143,8.148,8.121,-0.04%
"Sep 14, 2018",8.127,8.093,8.131,8.091,-0.09%
"Sep 12, 2018",8.134,8.218,8.231,8.121,-0.59%
"Sep 11, 2018",8.182,8.155,8.189,8.134,0.29%
"Sep 10, 2018",8.158,8.069,8.158,8.069,1.58%
"Sep 07, 2018",8.031,8.05,8.05,8.011,-0.31%
"Sep 06, 2018",8.056,8.038,8.085,8.033,0.09%
"Sep 05, 2018",8.049,8.043,8.11,8.033,-0.16%
"Sep 04, 2018",8.062,8.006,8.069,7.986,0.79%
"Sep 03, 2018",7.999,7.94,8,7.917,0.60%
"Aug 31, 2018",7.951,7.951,7.958,7.937,0.26%
"Aug 30, 2018",7.93,7.93,7.941,7.914,0.15%
"Aug 29, 2018",7.918,7.914,7.92,7.895,0.29%
"Aug 28, 2018",7.895,7.892,7.921,7.892,0.01%
"Aug 27, 2018",7.894,7.865,7.898,7.86,0.29%
"Aug 24, 2018",7.871,7.895,7.9,7.871,-0.10%
"Aug 23, 2018",7.879,7.878,7.879,7.861,0.66%
"Aug 21, 2018",7.827,7.834,7.834,7.814,-0.14%
"Aug 20, 2018",7.838,7.836,7.842,7.826,-0.29%
"Aug 16, 2018",7.861,7.849,7.876,7.839,0.55%
"Aug 14, 2018",7.818,7.8,7.824,7.795,-0.06%
"Aug 13, 2018",7.823,7.807,7.825,7.789,0.89%
"Aug 10, 2018",7.754,7.743,7.759,7.737,0.12%
