close_time,open,high,low,close,volume,quote_volume
2018-11-25,121.24,125.99,106.81,110.36,65554.82750632,7576149.607041965
2018-11-26,110.35,119.06,98.11,113.32,154019.64770067,16647762.485563222
2018-11-27,114.03,117.59,102.69,106.82,128375.60840784,14128619.204846121
2018-11-28,107.02,111.22,99.0,108.47,93156.89957893,9748524.26276345
2018-11-29,108.67,125.57,108.51,121.81,130815.98651602,15186828.778140426
2018-11-30,121.85,123.21,113.05,116.46,76052.1810276,8993146.883326793
2018-12-01,116.6,119.08,108.83,111.9,58500.83359525,6625678.550573998
2018-12-02,111.82,119.74,109.99,116.8,35465.72938472,4071998.6055636816
2018-12-03,116.83,119.35,113.95,114.91,29589.06795872,3429422.3617139785
2018-12-04,114.92,115.65,104.36,107.28,56880.03550787,6216848.0258594975
2018-12-05,107.34,112.18,104.16,108.8,37740.21277133,4109004.337821716
2018-12-06,108.47,109.12,100.21,100.67,97484.85007687,10168979.03418073
2018-12-07,100.59,103.01,88.86,89.16,137644.27826223,13474890.409576368
2018-12-08,89.39,109.43,81.19,92.5,237675.43302951,20804425.364111017
2018-12-09,92.44,97.51,83.7,90.07,105438.36555348,9487885.388944464
2018-12-10,90.04,98.41,88.09,92.63,73663.43740635,6818981.675575669
2018-12-11,92.7,94.6,87.32,89.27,53990.15489743,4860115.658783392
2018-12-12,89.2,91.02,85.0,86.9,50214.80157371,4396979.407936501
2018-12-13,86.93,91.01,86.0,89.09,41368.1955453,3677003.5205197027
2018-12-14,89.09,90.24,83.7,85.24,51053.1419856,4456177.039976447
2018-12-15,85.31,85.91,80.9,82.91,74615.27793756,6244090.877978752
2018-12-16,82.9,84.15,80.99,83.08,18287.26762719,1511809.8991566112
2018-12-17,82.94,86.65,82.94,83.76,20593.64228338,1755624.1736157902
2018-12-18,83.77,96.78,83.5,93.98,87161.63352821,7818081.322040831
2018-12-19,93.87,101.59,91.49,100.89,68453.86138415,6483436.446508856
2018-12-20,100.91,108.13,98.25,99.27,146360.99221898,15134952.718071133
2018-12-21,99.46,117.0,98.0,114.47,150897.58831179,16522093.609608127
2018-12-22,114.47,118.94,105.05,107.57,84037.26369746,9465533.043374615
2018-12-23,107.71,116.39,105.46,115.6,28440.29832048,3162885.152024835
2018-12-24,115.69,133.0,115.69,129.73,71583.28392295,9092148.036932306
2018-12-25,129.41,159.11,129.41,139.0,158797.18971046,23035720.655373197
2018-12-26,139.03,140.01,120.62,128.81,104150.46415927,13307121.209534178
2018-12-27,128.92,136.76,123.28,130.53,67426.99286634,8761405.475049213
2018-12-28,130.37,131.77,112.3,114.6,69733.84103862,8443198.190200862
2018-12-29,114.6,138.82,113.14,136.94,91051.9904028,11600312.049499894
2018-12-30,136.76,150.04,121.7,134.06,67274.92035461,9236817.96976506
2018-12-31,134.2,140.35,128.65,138.56,45948.10005907,6210494.181785478
2019-01-01,138.84,139.01,128.42,130.67,34827.16320193,4673530.19475724
2019-01-02,130.72,141.25,129.5,139.75,28500.81836864,3878116.7424560147
2019-01-03,139.77,156.8,138.54,153.38,48538.61467962,7177294.129308672
2019-01-04,153.44,154.73,144.09,147.02,36629.51818819,5440236.562115746
2019-01-05,147.08,156.48,145.02,152.98,62279.30046259,9392620.816105835
2019-01-06,153.59,160.95,152.31,153.85,44910.48152091,7046576.738729396
2019-01-07,153.89,159.66,148.47,156.0,46616.79505385,7166974.5871812515
2019-01-08,155.99,157.24,148.53,150.66,31949.9318684,4887257.941545446
2019-01-09,150.64,153.0,146.55,149.05,41160.02126107,6160452.802224996
2019-01-10,149.09,153.0,147.7,149.56,36745.01501714,5523597.363731609
2019-01-11,149.5,151.1,122.21,126.45,111302.27596437,14677611.212367238
2019-01-12,126.42,128.74,121.52,125.93,61032.04463738,7671457.976086424
2019-01-13,125.78,127.37,123.37,124.56,15433.26794816,1938365.1536470954
2019-01-14,124.13,125.52,113.46,115.25,33514.3744031,3968636.395797048
2019-01-15,115.42,131.47,115.24,128.33,58206.75219491,7196542.141272885
2019-01-16,128.34,130.59,116.68,119.88,63457.83758382,7950367.026531186
2019-01-17,119.91,127.77,119.29,122.22,43613.65717519,5330130.30603672
2019-01-18,122.28,123.9,116.97,122.52,53828.6261769,6511443.495294412
2019-01-19,122.47,122.73,118.22,119.35,30260.24083325,3653629.7683693008
2019-01-20,119.62,127.0,118.7,123.09,34191.20219802,4227370.819350897
2019-01-21,123.02,123.89,115.49,117.51,31269.47121138,3728510.6621934623
2019-01-22,117.52,118.24,113.44,115.86,31167.87758032,3627423.3454601853
2019-01-23,115.8,119.98,111.01,118.0,50330.72814294,5844691.299371659
2019-01-24,117.93,118.96,114.91,116.56,34623.84512809,4059783.6276217094
2019-01-25,116.38,117.17,113.5,116.5,37460.2900739,4326693.389916156
2019-01-26,116.5,117.12,114.12,114.79,34782.85314317,4021463.831270125
2019-01-27,114.76,117.64,114.57,114.95,9891.85731591,1143403.3146515863
2019-01-28,114.83,115.8,110.32,111.33,17330.90224369,1960508.1126267551
2019-01-29,111.46,112.14,100.9,105.47,69204.92959775,7272386.8076499235
2019-01-30,105.49,105.95,102.1,104.1,43953.14304525,4578095.285699426
2019-01-31,103.91,109.4,102.89,107.6,35999.18163805,3843973.5558605273
2019-02-01,107.6,110.07,104.78,105.87,19518.27632121,2086901.3158747999
2019-02-02,105.9,107.62,103.0,106.03,56575.99804585,5937179.343884545
2019-02-03,105.91,110.0,105.04,109.24,21713.945528790002,2324895.723389367
2019-02-04,109.37,110.02,104.44,105.91,30157.92525359,3227918.9440466333
2019-02-05,105.8,107.91,105.3,105.95,36049.23719205,3830928.737350875
2019-02-06,105.92,106.6,105.14,106.0,20729.950498,2195189.2188917347
2019-02-07,106.01,106.42,100.0,103.32,63448.67605484,6481350.635095875
2019-02-08,103.28,104.88,102.6,103.3,31884.86725559,3305828.8813659213
2019-02-09,103.19,121.67,102.38,118.19,85899.7563105,9587949.69549945
2019-02-10,118.07,119.97,116.54,117.92,28768.39846619,3394301.3541549747
2019-02-11,117.83,125.1,114.83,123.94,38037.08132456,4497447.126739988
2019-02-12,123.88,124.04,118.11,119.43,70731.74719224,8477287.777219169
2019-02-13,119.37,122.3,117.0,120.93,45613.91280942,5466373.552347541
2019-02-14,120.74,125.12,119.5,120.61,52509.71367178,6376723.600880307
2019-02-15,120.66,123.34,118.89,119.28,47836.18329069,5775867.460155352
2019-02-16,119.25,123.4,119.0,120.45,54373.6551868,6562549.474983864
2019-02-17,120.48,123.71,120.4,121.68,20929.85382625,2550098.248797255
2019-02-18,121.64,134.38,121.3,132.28,67821.79159842,8603645.68259653
2019-02-19,132.15,147.91,131.0,144.52,149277.10426519,20967433.32789546
2019-02-20,144.79,149.21,141.5,142.62,89421.18663186,13046649.287869593
2019-02-21,142.6,148.62,139.01,146.98,74912.716874,10797240.125113333
2019-02-22,147.0,149.5,141.61,144.3,56746.60665396,8209225.856162636
2019-02-23,144.13,147.52,142.11,146.4,86023.97321224,12528297.15627873
2019-02-24,146.77,160.0,144.8,157.42,96809.82118525,14835665.126522612
2019-02-25,157.46,165.76,131.4,131.84,147281.85058152,21621724.208139073
2019-02-26,131.54,141.98,131.42,137.63,82946.43218334,11371434.407158202
2019-02-27,137.42,138.07,132.05,135.9,54663.86306844,7410506.2017872855
